year,rows,unique_tournaments,rows_with_odds,rows_with_elo,rows_with_rolling_stats,rows_with_surface,odds_coverage_pct,rolling_stats_coverage_pct,surface_coverage_pct
2012,300,62,0,300,235,287,0.0,0.7833333333333333,0.9566666666666667
2013,296,64,0,296,267,284,0.0,0.902027027027027,0.9594594594594594
2014,302,63,0,302,270,291,0.0,0.8940397350993378,0.9635761589403974
2015,489,62,0,489,460,463,0.0,0.9406952965235174,0.9468302658486708
2016,523,66,0,523,498,497,0.0,0.9521988527724665,0.9502868068833652
2017,1105,70,0,1105,1036,1066,0.0,0.9375565610859729,0.9647058823529412
2018,2746,73,0,2746,2624,2574,0.0,0.9555717407137655,0.9373634377276038
2019,2654,68,98,2654,2607,2549,0.03692539562923888,0.982290881688018,0.9604370761115297
2020,1274,30,1256,1274,1235,1167,0.9858712715855573,0.9693877551020408,0.9160125588697017
2021,3120,58,2639,3120,2988,2995,0.8458333333333333,0.9576923076923077,0.9599358974358975
2022,3319,64,2502,3319,3196,3158,0.7538415185296776,0.9629406447725218,0.9514914130762278
2023,3575,68,2665,3575,3454,3399,0.7454545454545455,0.9661538461538461,0.9507692307692308
2024,3419,65,2650,3419,3339,3272,0.7750804328751096,0.9766013454226382,0.9570049722140976
2025,3373,62,3321,3373,3288,3239,0.9845834568633264,0.9747998814112067,0.9602727542247258
2026,1640,29,1618,1640,1605,1580,0.9865853658536585,0.9786585365853658,0.9634146341463414
