feature_set,model,feature_count,train_rows,validation_rows,test_rows,validation_accuracy,test_accuracy,validation_auc,test_auc,validation_log_loss,test_log_loss
elo_recent_rolling_market_similar_elo,random_forest,25,2020,602,208,0.6428571428571429,0.7163461538461539,0.7004483611626469,0.7745291902071564,0.6285894983235747,0.5794974366876525
all_available_prematch_features,logistic_regression,35,1948,581,198,0.6712564543889845,0.7121212121212122,0.7340660122350264,0.7771608171817705,0.6023468893129049,0.5658809806756591
all_available_prematch_features,random_forest,35,1948,581,198,0.6351118760757315,0.7070707070707071,0.7031761274719021,0.754635935044526,0.6268981653811534,0.5901166478496029
elo_recent_rolling_market_similar_elo,logistic_regression,25,2020,602,208,0.6710963455149501,0.6971153846153846,0.7386032335011927,0.7821092278719397,0.5996314148156123,0.5606704937367838
elo_market,logistic_regression,4,11810,3321,1618,0.6717856067449564,0.6915945611866502,0.7350236049290981,0.755035823888298,0.602104051398071,0.5856159623413796
market_only,logistic_regression,3,11810,3321,1618,0.6711833785004516,0.6909765142150803,0.7347964809571425,0.7547232818594187,0.6021040892850493,0.5857632490556622
elo_recent_rolling_market_surface,logistic_regression,25,11290,3144,1546,0.6711195928753181,0.6895213454075032,0.7306220415234017,0.7504307075658869,0.6058710704658172,0.5896507888553684
elo_recent_rolling_market,logistic_regression,15,11628,3235,1584,0.6707882534775889,0.6849747474747475,0.7308955658674324,0.7489091048280085,0.6055877520994289,0.5903338361546135
market_rolling,logistic_regression,13,11628,3235,1584,0.6707882534775889,0.6830808080808081,0.7315045680901185,0.7490032025109727,0.6051873711615439,0.5904702588653015
market_rolling,random_forest,13,11628,3235,1584,0.6550231839258115,0.6818181818181818,0.7168049824257174,0.7335313106052874,0.6175477604520732,0.6050200714584061
market_only,random_forest,3,11810,3321,1618,0.6627521830773864,0.6773794808405439,0.7124733873109538,0.7319787807651397,0.6662260571492098,0.6343074815525377
elo_recent_rolling_market,random_forest,15,11628,3235,1584,0.6605873261205564,0.6761363636363636,0.7193489907690096,0.7378613988976217,0.6170145643575615,0.6007013940064666
elo_recent_rolling_market_surface,random_forest,25,11290,3144,1546,0.6622137404580153,0.6739974126778784,0.7229999736911872,0.7384102412129797,0.6125784689097563,0.599573150057353
elo_recent_rolling,logistic_regression,12,19401,3275,1600,0.6345038167938931,0.645625,0.6895135928827715,0.7004634441795944,0.6336579872781591,0.6265529063206057
similar_elo_only,logistic_regression,10,3555,611,214,0.6153846153846154,0.6448598130841121,0.675975975975976,0.672872340425532,0.6478340781988127,0.6521440533214738
elo_recent,logistic_regression,2,20107,3373,1640,0.6305959086866291,0.6408536585365854,0.6873235547582617,0.6934253255205429,0.635042692700916,0.6319468446123327
elo_only,logistic_regression,1,20107,3373,1640,0.6314853246368218,0.6378048780487805,0.6867874918658435,0.6938061469941136,0.6348826286931949,0.6313169701093637
elo_recent_rolling,random_forest,12,19401,3275,1600,0.6290076335877862,0.625625,0.6768462512413292,0.6818522136688681,0.6414313446595834,0.6376595778692957
similar_elo_only,random_forest,10,3555,611,214,0.6039279869067103,0.6214953271028038,0.6420903045903046,0.6391843971631206,0.6606762935660588,0.671499894101194
elo_market,random_forest,4,11810,3321,1618,0.6001204456489009,0.5945611866501854,0.6649212104764379,0.6641655662741934,1.3752169192833539,1.1578526542284875
surface_rolling_only,logistic_regression,10,18469,3173,1559,0.5871415064607627,0.5920461834509301,0.6234051854324638,0.6276204087277805,0.6697430779409849,0.6660675690892904
rolling_stats_only,logistic_regression,10,19401,3275,1600,0.5893129770992367,0.585625,0.6329529947466868,0.6298261107420577,0.6664063777082271,0.6656937060354422
rolling_stats_only,random_forest,10,19401,3275,1600,0.5688549618320611,0.583125,0.6036634044543858,0.618524481262944,0.6803479146476877,0.6736614641562966
surface_rolling_only,random_forest,10,18469,3173,1559,0.5795776867317995,0.5753688261706222,0.6136252722272562,0.5962504198581373,0.676984219607624,0.687669930072105
recent_form_only,logistic_regression,1,20107,3373,1640,0.5736732878742958,0.5676829268292682,0.60736576443483,0.609193119627033,0.6753818381051767,0.6733177488261396
elo_only,random_forest,1,20107,3373,1640,0.5683367921731396,0.5640243902439024,0.6110197154364305,0.6093656793572448,1.990725092429673,1.8611399806363063
elo_recent,random_forest,2,20107,3373,1640,0.5538096649866587,0.5634146341463414,0.5946792943949067,0.6120619251418039,1.410681895042202,1.336289261034959
recent_form_only,random_forest,1,20107,3373,1640,0.5748591758078861,0.5634146341463414,0.6089639283138993,0.6059777070679573,0.6746145969770856,0.6774859190481864
